Timestamp,Expected_Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude
2025-04-16 13:41:20.687795,0.210000,-0.012506,0.054369,0.021332,0.059728,-0.014089,0.022745,-0.028662,0.039209
2025-04-16 13:41:20.689788,0.215000,-0.011133,0.231436,0.271969,0.357287,-0.012722,0.198912,0.220700,0.297382
2025-04-16 13:41:20.695550,0.220000,0.000690,0.483006,-0.161809,0.509390,-0.000960,0.449202,-0.210872,0.496236
2025-04-16 13:41:20.705635,0.225000,0.013068,-0.293151,0.016336,0.293896,0.011355,-0.323006,-0.033633,0.324951
2025-04-16 13:41:20.720887,0.230000,-0.084825,0.128449,-0.424996,0.452013,-0.086039,0.096449,-0.472719,0.490070
2025-04-16 13:41:20.725629,0.235000,-0.135295,0.481637,0.295496,0.581031,-0.136252,0.447840,0.244107,0.527933
2025-04-16 13:41:20.736834,0.240000,-0.215197,-0.101662,-0.617470,0.661751,-0.215748,-0.132492,-0.664214,0.710832
2025-04-16 13:41:20.752863,0.245000,-0.093624,0.305817,-0.587402,0.668827,-0.094794,0.272914,-0.634298,0.696995
2025-04-16 13:41:20.755401,0.250000,-0.051936,0.479360,-0.557607,0.737162,-0.053318,0.445574,-0.604655,0.752985
2025-04-16 13:41:20.760394,0.255000,0.034985,0.489535,0.202585,0.530951,0.033161,0.455697,0.151669,0.481418
2025-04-16 13:41:20.765575,0.260000,0.119015,0.051558,0.192084,0.231773,0.116763,0.019948,0.141221,0.184323
2025-04-16 13:41:20.784879,0.265000,0.194494,0.196776,-0.003028,0.276690,0.191858,0.164427,-0.052899,0.258155
2025-04-16 13:41:20.787885,0.270000,0.170161,0.402764,-0.471775,0.643230,0.167649,0.369368,-0.519260,0.658916
2025-04-16 13:41:20.790143,0.275000,0.148347,0.455883,-0.581283,0.753476,0.145946,0.422217,-0.628211,0.770854
2025-04-16 13:41:20.792497,0.280000,0.123760,0.406981,-0.381704,0.571532,0.121485,0.373564,-0.429648,0.582156
2025-04-16 13:41:20.794777,0.285000,0.093886,0.231508,0.086434,0.264350,0.091762,0.198983,0.036108,0.222077
2025-04-16 13:41:20.796592,0.290000,0.080242,0.121033,0.279979,0.315399,0.078188,0.089070,0.228669,0.257559
2025-04-16 13:41:20.799968,0.295000,0.047437,-0.178932,0.390880,0.432498,0.045550,-0.209369,0.339005,0.401042
2025-04-16 13:41:20.805633,0.300000,0.006543,-0.417879,-0.427963,0.598179,0.004864,-0.447099,-0.475671,0.652828
2025-04-16 13:41:20.815970,0.305000,-0.010467,0.356312,0.428552,0.557427,-0.012060,0.323152,0.376486,0.496300
2025-04-16 13:41:20.831383,0.310000,0.012964,-0.203480,0.159939,0.259138,0.011252,-0.233791,0.109239,0.258298
2025-04-16 13:41:20.835439,0.315000,0.002061,-0.498431,0.456945,0.676192,0.000404,-0.527242,0.404734,0.664676
2025-04-16 13:41:20.847429,0.320000,-0.094092,0.161921,-0.148100,0.238758,-0.095260,0.129750,-0.197232,0.254578
2025-04-16 13:41:20.863411,0.325000,-0.216563,-0.288959,-0.405277,0.542813,-0.217107,-0.318836,-0.453100,0.595056
2025-04-16 13:41:20.865460,0.330000,-0.215936,-0.416084,-0.112330,0.482050,-0.216483,-0.445313,-0.161644,0.520863
2025-04-16 13:41:20.879361,0.335000,-0.080295,0.395708,-0.474305,0.622894,-0.081532,0.362348,-0.521777,0.640464
2025-04-16 13:41:20.895521,0.340000,0.173316,-0.263948,-0.332866,0.458810,0.170788,-0.293952,-0.381058,0.510668
2025-04-16 13:41:20.899004,0.345000,0.202780,-0.459945,-0.389551,0.635940,0.200102,-0.488952,-0.437455,0.685917
2025-04-16 13:41:20.901127,0.350000,0.213379,-0.468137,-0.107555,0.525596,0.210648,-0.497102,-0.156893,0.562226
2025-04-16 13:41:20.915345,0.355000,0.152993,0.418356,-0.430411,0.619421,0.150568,0.384881,-0.478107,0.631973
2025-04-16 13:41:20.921161,0.360000,0.091679,0.128313,0.274422,0.316507,0.089566,0.096314,0.223140,0.259017
2025-04-16 13:41:20.923512,0.365000,0.057679,-0.190479,0.582780,0.615827,0.055740,-0.220857,0.529930,0.576810
2025-04-16 13:41:20.926059,0.370000,0.043660,-0.325245,0.511413,0.607646,0.041792,-0.354937,0.458925,0.581669
2025-04-16 13:41:20.930099,0.375000,0.013376,-0.530940,-0.102796,0.540966,0.011662,-0.559586,-0.152159,0.580021
2025-04-16 13:41:20.940531,0.380000,-0.011740,0.191432,0.493713,0.529657,-0.013327,0.159111,0.441316,0.469312
2025-04-16 13:41:20.945362,0.385000,-0.003056,0.560959,0.368881,0.671384,-0.004686,0.526758,0.317118,0.614866
2025-04-16 13:41:20.956485,0.390000,0.013566,-0.057122,0.219960,0.227661,0.011851,-0.088179,0.168956,0.190950
2025-04-16 13:41:20.972340,0.395000,-0.086141,0.184100,-0.116527,0.234290,-0.087348,0.151816,-0.165820,0.241193
2025-04-16 13:41:20.975351,0.400000,-0.118276,0.390832,0.391156,0.565457,-0.119320,0.357496,0.339280,0.507101
2025-04-16 13:41:20.989464,0.405000,-0.216841,-0.392169,-0.210462,0.495087,-0.217384,-0.421521,-0.259276,0.540518
2025-04-16 13:41:20.991457,0.410000,-0.215339,-0.520402,0.096649,0.571428,-0.215889,-0.549101,0.046271,0.591829
2025-04-16 13:41:21.003938,0.415000,-0.097574,0.188841,-0.274821,0.347431,-0.098724,0.156533,-0.323309,0.372528
2025-04-16 13:41:21.006626,0.420000,-0.053666,0.421014,-0.271425,0.503790,-0.055039,0.387525,-0.319929,0.505529
2025-04-16 13:41:21.008747,0.425000,-0.017029,0.525282,0.002335,0.525563,-0.018589,0.491262,-0.047562,0.493909
2025-04-16 13:41:21.012113,0.430000,0.041761,0.509609,0.547861,0.749398,0.039903,0.475669,0.495188,0.687797
2025-04-16 13:41:21.021014,0.435000,0.171509,-0.205351,-0.168375,0.316125,0.168991,-0.235653,-0.217404,0.362429
2025-04-16 13:41:21.025498,0.440000,0.207609,-0.390268,-0.157663,0.469327,0.204907,-0.419629,-0.206747,0.510705
2025-04-16 13:41:21.033926,0.445000,0.208013,0.132841,0.615101,0.662771,0.205309,0.100818,0.562086,0.606841
2025-04-16 13:41:21.035479,0.450000,0.199324,0.270473,0.410064,0.530130,0.196664,0.237750,0.358092,0.472685
2025-04-16 13:41:21.049884,0.455000,0.060587,-0.143179,0.714986,0.731694,0.058633,-0.173797,0.661463,0.686423
2025-04-16 13:41:21.055623,0.460000,0.014242,-0.569886,0.052568,0.572482,0.012524,-0.598333,0.002415,0.598469
2025-04-16 13:41:21.065656,0.465000,-0.012155,0.022183,0.556214,0.556789,-0.013739,-0.009277,0.503498,0.503771
